Tweet,Message/tweets,positive,negative,polarity
527, MariaFdaCabal httpst.coOuOtyTj1xq,,,neutral
528," VistaUniverse Yukon Canada  
via marcadamus httpst.coHcxecDum6E",,,neutral
529,"Let us handle catering Call us today at
6137663373
Houseofdonair Canada Donairmeat 505PrincessSt httpst.cossXEJhfQJU",,,neutral
530," arocha221 Por qu hay tantos casos en el sur de Estados Unidos y tan pocos en el norte de Mxico

Es un fenmeno comn pasa con los",,,neutral
531, MarcPatrone To refresh your memory as junior attempts a power grab under the pretext of protecting Canadians from the pandemic. It w,refresh,,positive
532, JustinTrudeau We are implementing the Quarantine Act to keep all Canadians safe. So let me be clear If you do not go home and stay ho,clear,,positive
533," mcspocky Most adult Americans will be getting a one time payment of 1200 because of the COVID19 crisis.

But Canada will pay CAN2",,,neutral
534,"Brand new JUNGKOOK OCEAN BTSxVT LatelierdesSubtils Eau de Toilette amp photo cards
 130CAD wTRACKED shipping
 115CADmeet up
Toronto CANADA
DM for inquiries
CADPayPal
BTS  BTSTour2020 BTSinCANADA   JK VTCosmetics ARMY ARMYMissesBTS httpst.coMYBrKFcl2U",,,neutral
535,Canada calls on US to ditch plans to deploy troops at border httpst.coG2sNUYSoY0 via Yahoo,,,neutral
536, kieranleavitt Full story. Still no word from the minister or his ministry or the premier. Nor have many government staffers been out d,,,neutral
537," SecondCityCop Huh.....

BBC News  Coronavirus Mexicans demand crackdown on Americans crossing the border httpst.covnXp3oiosz",,,neutral
538, mayorofsarnia Darkness tests stars but they shine. Storms test trees but they stand. Adversity tests the great but they soar.,great,"adversity, darkness",negative
539,Extra 30 Off All Bogs Clearance Items  Use Code EXTRA30. Offer good 3202020 thru 3312020 at BOGS Footwear Canada Beautifully Tough Seamless Technology  30 Lighter 100 Tougher  4way stretch 100 waterproof ad affiliate httpst.cohYWsZ9NSAU,"beautifully, good, lighter, seamless, tough, tougher",,positive
540, joannachiu Officials cautiously optimistic that measures in place to keep space between people are working to stem the spread of CO,optimistic,,positive
541, charlesrusnell Alberta health minister accused of berating Calgary physician intimidating citizens  CBC News httpst.co0SkUpGwh,,intimidating,negative
542, BanffNP  Parks Canada will no longer be issuing public avalanche bulletins for the remainder of the 2020 spring season. Please stay,,avalanche,negative
543,CBCNews Is there backward Canada has that tech to use cell phone to locate the infected,,"backward, infected",negative
544, CBCNews Takaya a wolf that lived alone for years on a tiny island near Victoria B.C. was shot and killed by a hunter this week.http,,killed,negative
545, MrAndyNgo A McDonalds employee in Ontario Canada has been charged with fraud after she allegedly faked a doctors note about having,,fraud,negative
546,Kddid15 V4DeadManWalkin ScottHallman VoiceOfFranky lots of stupid people replying and liking. to put it simply half of americans think trump is doing good job. nothing to do with math. it has to do with stupidity. canada too was late at doing anything about this epidemic. but lots of stupid people like the response it appears,"good, like, trump",stupid,positive
547, TorontoStar Breaking Toronto confirms 457 cases of COVID19 with 118 more cases than yesterday. We are seeing a significant increa,significant,breaking,neutral
548,RoyalCaribbean whats going on with the Oasis sailing on 21Jun2020 from Bayonne  Was supposed to go to Canada but with the closing of the ports in Canada per your PR Im unsure of the status.  I still see this listed for sale online as a Canadian cruise.  Are ports changing,oasis,unsure,neutral
549, Clauwild1 A Medicom uma empresa canadense tem trs fbricas na China mas o governo comunista  requisitou confiscou toda a sua p,,,neutral
550, NightShiftMD See. It works. Physical distancing has halved spread of COVID19 in B.C. official modelling suggests  CBC News https,,,neutral
551, CFHSvcs A Govt of Canada COVID19 selfassessment tool is now available. I encourage anyone experiencing symptoms or who have concern,encourage,"concern, symptoms",negative
552, ezralevant Why cant you find a mask to wear For two months China had its expats around the world buy up protective gear in bulk an,protective,,positive
553,DavidDobrik I dont have a cashapp or Venmo because I live in Canada this sucks ,,sucks,negative
554," YukonStrong If you think this cant happen in Canada ask yourself

A month ago when the virus was only in China did you think Canad",,virus,negative
555, JohnTheFame Americans watching Canada and Europe take care of their citizens during the pandemic httpst.coKlkz2lnzOT,,,neutral
556, andrewphung As an Albertan and someone who once called you a friend Im very disappointed in your behaviour shandro. You are an ele,,disappointed,negative
557," DebHaslam Trudeau Sent 17 Tons Of Coronavirus Protective Supplies To China  Now Canada Running Low
No worries...Im sure China will",protective,,positive
558," DrJacobsRad Please continue to social distance yourselves. We do not want to test the capacity of our ICU infrastructure.

No country",,,neutral
559,"Bon Sabbat  tous au nom de lquipe du Messager Adventiste du Canada

AIMER et PAAGER en clbration du sabbat

O accueillezvous le Sabbat ce soir 

BonSabbatBonSabbat messagerMessager adventisteAdventiste canadaCanada
Read Less httpst.coKbv47x20DN",,,neutral
560,Competition Bureau has concluded that Air Canadas proposed acquisition of Transat is likely to result in a substantial lessening or prevention of competition in the sale of air travel or vacation packages to Canadians. httpst.coUuqlJxz8nm,,,neutral
561," BBCWorld Mexicans demand crackdown on Americans crossing the border 

httpst.coizwx6Qj5FI",,,neutral
562,cangal21 Glad hes well,"glad, well",,positive
563, PalomaSenadora Segn ese indictment Chvez acord con Maduro y con otros miembros de la Asamblea Nacional Venezolana retirar de sus,,,neutral
564,"Bless this man.   
FrontLineHeroes TrumpVirus TrumpLiesAmericansDie

Amid a critical shortage pandemic ventilator inventor makes his design open source.  httpst.cobYCmy4UXs2",bless,"critical, shortage",negative
565," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
566,"pittmangeorge Did you know there are more than 1000 islands in New YorkCanadas Thousand Islands region

There are over 1800..",,,neutral
567,danwootton these replies r so weird why do americans hate royals lol theyre loved in canada,loved,"hate, weird",negative
568,ruthmkb Disbanding this group of crooks would do wonders for Canada,wonders,crooks,neutral
569,"In celebration of Nike Air Max Day 2020 weve teamed up with 10 of the top industrial designers in Canada to anticipate the Nike Air Max 2090.
In light of recent events the art is now showcased online at httpst.coUSjA9INPh4 through an interactive 360 degree presentation. httpst.co9qSVoz4Jme","celebration, top",,positive
570,SHARXGIRL its pathetic....meanwhile in canada they are paying people for the next 4 months,,,neutral
571,gevus1 bankofcanada National Bank of canada maybe its just people with variable rates already with them,,,neutral
572,"christufton 
Not sure if this can help maybe someone qualified can take a look. 
httpst.coEoswkX7P8E",qualified,,positive
573,HGuilianiCury fanquinco Con ese diferencial de precio...valdra la pena montar una refinera dedicada para procesar importaciones de Western Canada Alberta.,,,neutral
574, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
575,"Horrified in Canada by killing of Marco Rivadeneira Carlota Salinas amp at least 6 other social leaders this week alone in Colombia as protections reduced amp risk increases. IvanDuque measures vs COVID19 cannot be an excuse to neglect protection of HRDs
httpst.comrnIeGRiEZ httpst.coKIPczyJyl5",protection,"excuse, horrified, killing, neglect, risk",negative
576,Their traditions go back millennia but COVID19 is forcing change upon churches mosques and synagogues across Ottawa. Friday prayers shivas and christenings are among the sacred events getting a modernday makeover thanks to the coronavirus. httpst.co52I218tyfy CBC httpst.coNZHRIwN7Ub,,,neutral
577,"TransCanadaBeer just got our beer no contact delivered today for the weekend. And swag inside ta boot
More of Canadas everyday heros. httpst.corkDxAOtK0Z",,,neutral
578, CanisAzureus LegendaryEnergy My black literature professor told me white people will never understand black literature so I left,,,neutral
579,Stay strong world Stay home stay inside do a puzzle use your imagination to travel 3dpuzzle puzzle cntower canada ontario toronto education flattenthecurve isolation quarantine montreal jouetsloltoys toystore httpst.coYHsmxsb4L3,strong,isolation,neutral
580,"SupMegBaseball Shucks they hope so

They should be. I ear their bats have a lot of pop.",,,neutral
581, SwannyQLD Canada has announced  a 75 wage subsidy demonstrating yet again the Governments crashing failure in face of crisis,,"crashing, crisis, failure",negative
582,No Canadian Twitter mocks Trumps plan to move troops to U.S.Canada border  National  httpst.coRJo3C4w9H9 httpst.cou8KUGmczbw,,mocks,negative
583, LarocqueSyl TransatAir Canada llimination de la rivalit entre ces entreprises entranerait une augmentation des prix une diminu,,,neutral
584,GoodGuyLoki Bro whats wrong,,wrong,negative
585,COVID19 la majorit des universits ontariennes reportent leurs collations des grades httpst.coW52WwKxidI,,,neutral
586, picardonhealth A glimmer of hope  PhysicalDistancing has halved spread of COVID19 in B.C. modelling suggests by rhiannaschmunk,glimmer,,positive
587," raehanbobby When the US has a cold Canada sneezes. 

cdnpoli covid19 healthcare",,cold,negative
588, vesponda Dicen los fachos que Canada es un ejemplo a seguir el Presidente lopezobrador lo entendi desde hace mucho y es lo que ha,,,neutral
589, tim4hire This is highly inappropriate conduct for any minister at any time. It is egregiously so for the Minister of Health to do this,,"egregiously, inappropriate",negative
590,"The Canadian govt is providing support to those financially impacted by COVID19 by A1time GST credit Child Benefit topup 6 month interestfree moratorium on student loans. For seniors minimum withdrawals from RRIFs reduced by 25
For more info httpst.covLPBXnVP2O httpst.coJwoK6JIXjo","benefit, support",,positive
591, mgurarie Canada Should Nationalize Oil Companies Not Bail Them Out httpst.co82KsqvzaT3 via readpassage,,,neutral
592,nsouthern95 For sure. Canada needs a leader like him.,like,,positive
593, latimes Meghan Markle and Prince Harry have moved to L.A. according to reports httpst.cowrKxVe7nkK,,,neutral
594,"In corners of the U.S. Canada Russia and China OilPrices at the wellhead are collapsing under the weight of an unprecedented glut.

Story Creds Rigzone",,,neutral
595,lemmehealuh hotcupid0 Bohat jaldi yaad aagaya yaar. Canada se ,,,neutral
596, SPACPSPC Employs de SPAC  Veuillez noter que laccs RPV au rseau de SPAC sera interrompu demain le 28 mars pour une priode denv,,,neutral
597, TheTorontoSun CRAIG Canada cant afford social distancing apathy httpst.co1GwSaAjr5G httpst.coLeov4POA1h,afford,apathy,neutral
598, EXrayFuSion No mask no service In Vancouver anticoronavirus face coverings go mainstream as fears grow over shortages for healt,,fears,negative
599, evgeniagallery 201029  EvgeniaMedvedeva free skate to Extremely Loud and Incredibly Close at Skate Canada International 2016 https,"free, incredibly",loud,positive
600, drhonow Together we can make a difference by providing resources to those who need it most. 100 of the proceeds donated  will go tow,,,neutral
601,Carl Middleton el hombre britnico que convirti un curioso pasatiempo en un negocio internacional recolectar pegatinas de frutas. Carl comenz a acumular las coloridas pegatinas hace casi dos dcadas. Ahora sus lbumes artsticos se venden en pases como Italia y Canad. httpst.cohI3msmGvQS,,,neutral
602, JustinTrudeau We are implementing the Quarantine Act to keep all Canadians safe. So let me be clear If you do not go home and stay ho,clear,,positive
603,.AgentsofSHIELD does anyone there know why you are available on  netflix but not NetflixCA or disneyplus  I know Canada is considered the red headed step child but we like it just as much as anyone else and there is No way to binge it except to spend  and buy it.,"available, like",,positive
604," susanpdoherty truly amazing what independent bookstores in Canada are doing to get books to readers.

httpst.coVzq1I7V1tu",amazing,,positive
605,inatimeofdeceit jmurray1990 CBCNews The government stated they would lend up to 5000 for Canadians to get back to Canada. On March 7th there was plenty of media of this and people still chose to gamble. When we travel we have to be prepped to live with the consequences,,,neutral
606,Era pra eu t no Canad a muito tempo j httpst.co63arE7rD04,,,neutral
607, Learning2GetBy Border towns in Canada petrified by possibility of U.S. easing coronavirus measures  National  httpst.coLrZc7jr,easing,petrified,neutral
608," YukonStrong There ya have it Vancouver you are officially on your own to protect yourself against theft.

And criminals know that.",protect,,positive
609,RLuciana1 Que me disculpe pero arriesgo ir en canada si me habla un rato,,,neutral
610," geonewsenglish SouthKorea boy band BTS postpones US Canada tour over coronavirus

GeoNews",,,neutral
611,ABC7Chicago Move to Canada ,,,neutral
612,Forgotten Trail follows two teenagers who apply their knowledge of fractions decimals measurement and statistics to retrace the Ojibwe migration through the U.S. and Canada. httpst.coZjfynyAOo1,,,neutral
613, SPACPSPC Employs de SPAC  Veuillez noter que laccs RPV au rseau de SPAC sera interrompu demain le 28 mars pour une priode denv,,,neutral
614,"Meal Exchange has joined over 170 of Canadas leading charities to call on the Federal Government for emergency support to face the COVID19 crisis. Here is our letter to CanadianPM JustinTrudeau cc cafreeland BillMorneau

httpst.coZDQA9rrlFj httpst.co31qCZQ06f4","leading, support",emergency,positive
615,"Ramones El Mocambo Toronto Canada 1978 
 Pic by Rodney Bowes.
ramones ramonesfans joeyramone johnnyramone tommyramone deedeeramone 
httpst.cojsmlT9hb7p httpst.codVgapzfxPQ",,,neutral
616, evgeniagallery 201029  EvgeniaMedvedeva free skate to Extremely Loud and Incredibly Close at Skate Canada International 2016 https,"free, incredibly",loud,positive
617,danwootton Fled Canada to escape coronavirus They moved to the country with the highest number of cases in the world some escape plan ,,,neutral
618,Canada attacks damaging Trump plan to deploy troops at border  Via Reuters httpst.coXl8mgRH9fR,trump,"attacks, damaging",negative
619, kieranleavitt Full story. Still no word from the minister or his ministry or the premier. Nor have many government staffers been out d,,,neutral
620,Se mudan de nuevo Antes del cierre de fronteras Harry Meghan y Archie abandonaron Canad para instalarse en LA la ciudad natal de la duquesa donde ella retomar su carrera en el mundo del espectculo. Descubre en LaHoraHOLA cmo ser su primer papel junto a Disney httpst.comJZZxEjKqC,,,neutral
621,"No mask no service In Vancouver anticoronavirus face coverings go mainstream as fears grow over shortages for health workers httpst.cocFGSP3B4Ce
Mar 27 2020 1400",,"fears, mar",negative
622, CBCAlerts More CBCNews Montreal declares state of emergency in effort to contain spread of coronavirus among people living on the st,,emergency,negative
623, ngotranslations Voces en Canada alertan sobre catstrofe en Venezuela con el brote del coronavirusexhortan a rgimen de Maduro que,,,neutral
624,"waqarchoudhary IamABjabbar MaleehaHashmey Most of people living in Canada  uk  Europe Praising Pakistan 
As Pakistan is working hard than most of the country
And HamidMirPAK is busy in something else",praising,hard,neutral
625, jhnamaral EUA nao tem ouro pedindo socorro para Inglaterra que tambem nao tem ouro pedindo socorro para o Canada que uns  anos areas a,,,neutral
626," PorrasSilvia There arent enough ventilators for coronavirus so a London Ont. man giving his design away
httpst.coKrxLaE3Zgn",enough,,positive
627,antitheticate blm8688 Scribulatora I occasionally marvel at the fact that a department store once owned 75 of Canada.,marvel,,positive
628,"BUCKET LIST INSPO

For Eastern skiers colorful and charming French Canada is the perfect getaway both exotic and easy to access. Let this guide be your compass for skiing around Qubec. 

READ MORE httpst.co53E8XFWYSq httpst.cokFRp9D2lPZ","charming, colorful, easy, perfect",,positive
629, TheTorontoSun South Korea boy band BTS postpones U.S. Canada tour over coronavirus httpst.coN317v0uUIi httpst.coyAuFOWLqim,,,neutral
630,"Canadians outside the country who are directly impacted by COVID19 are eligible to apply for the Emergency Loan Program for Canadians Abroad to facilitate their return to Canada and to cover basic essential needs while they work towards their return. 
httpst.coo1WvjkcWch httpst.coPaaBQECMBg","facilitate, work",emergency,positive
631,"Canadians outside the country who are directly impacted by COVID19 are eligible to apply for the Emergency Loan Program for Canadians Abroad to facilitate their return to Canada and to cover basic essential needs while they work towards their return. 
httpst.coSPoR7S4LH0 httpst.coelyU0oDgKJ","facilitate, work",emergency,positive
632," NMCharts Canadas biggest radio station Hits93Toronto will play NICKIMINAJs songs nonstop until midnight EST NickiDay

Tune i",,,neutral
633, PSPCSPAC PSPC employees  Please note that VPN access to the PSPC network will be interrupted tomorrow March 28 for approximately one,,,neutral
634,"Les Canadiens  ltranger qui sont directement touchs par la COVID19 sont admissibles  une aide financire aux Canadiens  lextrieur du Canada afin de faciliter leur retour au Canada et afin de couvrir leurs besoins essentiels de base.
httpst.cogS4bMBCtzH httpst.coCe2cJMqRYt",,,neutral
635,"Les Canadiens  ltranger qui sont directement touchs par la COVID19 sont admissibles  une aide financire aux Canadiens  lextrieur du Canada afin de faciliter leur retour au Canada et afin de couvrir leurs besoins essentiels de base.
httpst.co8CyjVhEDR4 httpst.coCnTJb8qv54",,,neutral
636,"The same has happened in Canada. Why borrow more why print more money why is the dollar dropping Why is our economy dead long before the oil drop and the fake virus came along. 
China must love this those with wealth lose.
No one else does. httpst.coAaVTT1Twr5",love,"dead, fake, virus",negative
637, tylerwhat16 Jason Kenneys Health Minister Tyler Shandro and his wife are being accused of berating a Calgary doctor at his house i,,,neutral
638,GlobalMontreal BC1 They waited this long Makes no sense with Quebec having the highest cases in Canada,,,neutral
639, TeeKaay10 Canada is not allowed to hear about this on fake news CBCCTV or Global NewsTrudeau and the Liberals will not allow this k,,fake,negative
640,"Rideau centre at 5pm on a Friday 
ctvottawa cbcottawa ottawa ottcity capital Canada rideaucentre ottawaphotography malls deserted lockdown  CF Rideau Centre httpst.co3pkzksAAqT",,,neutral
641,"CoronaLockdown Due to Corona we officially have three days of the week

1. Yesterday 
2. Today
3. Tomorrow",,,neutral
642, CCUAACCF Credit unions have always been there for their members. Now more than ever Canadas credit unions are ready to help with a,ready,,positive
643, globeandmail B.C. social distancing measures appear to have slowed the spread of COVID16 httpst.cogl4eOS4jr7 httpst.cobN0woI2,,slowed,negative
644,DFBHarvard Awesome man Canada needs a real man type human,awesome,,positive
645," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
646,AndrewYang I heard Canada will be giving out 2000 per month per person during the lock down.,,,neutral
647," DavidJHarrisJr This is EXACTLY what happens when you dont take care of your own first
httpst.coUTbrgd9DrG",,,neutral
648, Travellersoul76 carpediemeire Adventuringgal TravelBugsWorld TrippaTrips jasontravelblog LoriMoreno MadHattersNYC suziday123 ,,,neutral
649," FilomenaTassi What is social distancing

 avoid crowded places and nonessential gatherings
 avoid greetings such as handshakes
 a",,crowded,negative
650, carloslevelgar Inslito.. Ojo Peligro Atencin... Donald Trump Militariza la frontera Canad EEUU.. Querr aprovechar Covid19  para h,trump,,positive
651,calbert57 El alquimista muy bueno saludos to Alberti desde Montreal canada,,,neutral
652,Did you know Canadas Dairy industry provides more than 218000 jobs annually 1 in 8 jobs from farmers suppliers processors transporters to grocers are involved in bringing food to tables in Canada and around the world. farmfactfriday dairy farming agriculture httpst.comd8AdtbaeG,,,neutral
653,JoeHasell MaxCRoser I mean... its behind Canadas... and we have 110th the population,,,neutral
654, PSPCSPAC PSPC employees  Please note that VPN access to the PSPC network will be interrupted tomorrow March 28 for approximately one,,,neutral
655, dfergusson Come on Canada and BC How many private care homes in B.C. had dangerously low staffing and horrible health conditions plu,,horrible,negative
656,chrismh WHO DrTedros CPHOCanada CDCgov CraigASpencer raghuvenugopal JamesOrbinski jamesmaskalyk NaheedD jwnickerson buissonnierem chrismh is at the TOP of the list of people to follow for trusted relevant important information.,"important, top, trusted",,positive
657,"splathalla Damn canada is taking it hard...
Germany less cars... More social contacts because the people walk.
Proof I saw it",,damn,negative
658, MeteoHellin Nevada primaveral ms que notable en reas gt9001.000m en la provincia de Albacete. Imgenes desde Caada Juncosa o Ca,,,neutral
659, CBCNorth Big new numbers from the N.W.T.  hundreds of people who completed selfisolation plans and online selfassessments for COVID,,,neutral
660," Eevee  
Rank 2 GL Leafeon 1500
CP 462 L 18 
IV 44 0515 PU L 19.5
M1 Tackle M2 Dig
British Columbia Canada

49.24037336 123.12904821
GttkcBot
 l   
  
engelgo GlowingPonyta milanacimovic",,,neutral
661," AmeerRosic Dear Canadian airlines. Here is an idea.

Canada is so expensive to travel. Just plain stupid. 

Create an all you can fly",,expensive,negative
662,"This is what we can expect so far  COVID19 CANADA
httpst.coipEhQ7ToHQ",,,neutral
663,netflix you charge us for 4k video...if youre decreasing our quality of video in Canada then decrease our monthly plan rate....smh,,,neutral
664," DrJacobsRad Chinese ambassador says COVID19 cooperation not enough to fix relationship with Canada.

What we did was for the peopl",enough,,positive
665, jvipondmd Hey Canada want some reassurance  Our death rates are parallelling South Korea not Italy or NYC. httpst.coQtRoUaF0RH,reassurance,death,neutral
666, japantimes Canada urges U.S. not to put troops at border during coronavirus pandemic httpst.coRS62gprTzN,,,neutral
667,13 Hand Creams the ELLE Canada Editors Swear By httpst.coIzDI0vpuJj,,,neutral
668, ChaskaDaisy US Space Force launches satellite after short delay  BBC News httpst.co1wtKyibXzf,,delay,negative
669, xtraferocity Retired respiratory therapist John Strupat said he made the decision after failing to get any kind of serious considerati,,failing,negative
670, danwootton EXCLUSIVE Prince Harry and Meghan have fled Canada to escape the coronavirus pandemic and moved permanently to California,,,neutral
671,So grateful to live in Canada. httpst.co9ycNLyI7vj,grateful,,positive
672," MasakiOshikawa COVID19
BCG",,,neutral
673," ChristineSavar1 MattsCravat 
I am from Qubec Canada looking at the season 11 of Masterchef Australia in French and I just learned",,,neutral
674, pablonegri HOY Imperdible seminario live online Hoy 27 mar 2020 3 PM Hora del Pacfico EE. UU. y Canad  8 PM Chile Continenta,,mar,negative
675, ShadyMixerFacts .LittleMixs BreakUpSong is currently in the Top 10 on iTunes of 44 territories including the US Canada UK German,top,,positive
676," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
677,Launched in Canada today httpst.coukqOTUeDGf,,,neutral
678, ReaalAmerican AOC Bernie and Canada have the answer 2000 a month to everyone. httpst.coEQYljadmXG,,,neutral
679, charlesrusnell Alberta health minister accused of berating Calgary physician intimidating citizens  CBC News httpst.co0SkUpGwh,,intimidating,negative
680,mclovinbell ScottTerrioHMA Theyre truly allergic to good decisions. Bwahahahaha.,good,allergic,neutral
681,March 24 Update from the Office of the Chief Human Resources Officer OCHRO  httpst.coA5dU6TiJps httpst.coC22nd0L9tj,,,neutral
682,MittmannRemi drgbarrette vuduquebec Bonjour docteur Barrette. Je crois avoir vu que vous tenez le compte pour les hospitaliss Peuttre seulement au Qubec. Pouvezvous jeter un coup doeil sur le total des hospitaliss au Canada,,,neutral
683," VistaUniverse Yukon Canada  
via marcadamus httpst.coHcxecDum6E",,,neutral
684,"Health Canada is warning Canadians to be cautious with product claims on preventative measures treatments and cures for COVID2019. These health products are making unauthorized claims and may actually put your health at risk. 

httpst.coBDh2bHWi4G httpst.coMrjJaYXtPU",,warning,negative
685,CochraneCBC Hmm the dates 12th and 16th for social distance implementation. Incubation is up to 14 days. Also 1 million people passing through airports in Canada between 14th and 20th. The numbers the base their model on will always be those 2 weeks behind. httpst.co51TpRvTuUV,,,neutral
686,COVID19  Are you a snow bird or traveller who has returned to Canada in the last few days Even if you dont have any symptoms of the coronavirus make sure you follow the mandatory 14day selfisolation. Together lets flatten the curve httpst.copTbrXnCQUw httpst.coWItweop9D1,,symptoms,negative
687,JeremiahJohns66 JanetBrown980 CKNW GlobalBC jillreports steeletalk You know all flights landing in Canada have CANADIANS on them right,right,,positive
688," ChuchuRosy Mine de rien le Canada est un pays formidable franchement 
La faon dont les gouvernements de chaque province et le gouv",formidable,,positive
689,laylow88861429 misshellca DigiVorr SpaceForceBravo meganbushway15 alshadowdancer calijeff1 BobC7000 TrumpSugar CunningMarshal JackHer18731941 PwrCane1 shinobitony TearsMaga annableigh ShlomoIndiana PersevereEver KrampusFu Apritions Twistagirl1958 GrandmaBoom LarryBoorstein gorillastyle OriginalQ10 TourguideJ drgeeforce yankeepirate247 donnnie HouseOfJames2 Alawnguy Willy52755060 DonaldIvanovich ParonoidThe peggysbh PetePerkins8 LouQBrown1 JimHaf DectiveSamSpade TheTemmaTheHun Jacob83896764 TaraCam74631745 trutherdare Politinfo wilkimom Turk187187 BigTev300 LibertyBella9 dennismm59 dbongino realDonaldTrump Canada rocks.,,,neutral
690,"TransatAir Canada llimination de la rivalit entre ces entreprises entranerait une augmentation des prix une diminution des services et une rduction importante des voyages effectus par les Canadiens conclut le Bureau de la concurrence
 httpst.coSP3cd6Ue6Q",,,neutral
691, minibubbly This is excellent news for Canada.,excellent,,positive
692,Temporary foreign workers some international students and approved permanent residents who havent yet landed are now able to enter Canada. Info httpst.coIVcGx7eebB httpst.cof2anZF8GbR,,,neutral
693,Until June 30 2020 travel to Canada will be restricted for all foreign nationals with exemptions incl temporary foreign workers some international students and approved permanent residents who havent yet landed are now able to enter Canada. Info httpst.coyfLqaGp97X httpst.coSYk8yZ88v7,,restricted,negative
694, NavdeepSBains If youre a business that is ready and willing to retool production to help support Canadas fight against COVID19 he,"ready, support, willing",,positive
695, JohnTheFame Americans watching Canada and Europe take care of their citizens during the pandemic httpst.coKlkz2lnzOT,,,neutral
696," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
697,CRAIG Canada cant afford social distancing apathy httpst.co1GwSaAjr5G httpst.coLeov4POA1h,afford,apathy,neutral
698,DavidDobrik I dont have venmo in Canada but heres my paypal...my son and I could really use some help with groceries right now  httpst.co5zL9elZd0M,right,,positive
699, CFHSvcs A Govt of Canada COVID19 selfassessment tool is now available. I encourage anyone experiencing symptoms or who have concern,encourage,"concern, symptoms",negative
700, StevieBrexit Nazifa Zaman chair of the University of Warwick Labour Society celebrated Boris being tested positive for coronavirus,"celebrated, positive",,positive
701, PhillyInquirer .TempleUniv has stepped up during the coronavirus pandemic. The Liacouras Center as well as other Temple facilities,well,,positive
702, Hope012015 Jerry Falwell and those who follow a similar path have set themselves up for possible negligence lawsuits. httpst.coeOI,,negligence,negative
703,No Syracuse University I do not want my commencement to be virtual. Even if that means I get to walk with my puffle on club penguin or with my pet cows on Minecraft.,,,neutral
704, tarynatlee The NCAA amp the 32 conferences will vote on 330 if spring sports get a year back of eligibility. PLEASE RETWEET for senio,,,neutral
705, gramsigmas Allow us to introduce you to the new inductees of The  Chapter of Phi Beta Sigma Fraternity Inc. at Thee Grambling State U,,,neutral
706, missouristatewp The city of West Plains issued a stayathome ordinance effective 1201 a.m. March 28 due to the coronavirus outbrea,effective,,positive
707, TheCyrusMoss Very honored to announce an offer from The University of Oklahoma. Spoke face to FaceTime with Coach LincolnRiley and,honored,,positive
708, RiverStatesConf Oakland City University approved as provisional member of River States Conference. Full story httpst.courhFcscsln,,,neutral
709,DavidDobrik hi carmentrevizo amp i got laid off by our university  httpst.conD1J4sgXlN,,,neutral
710,NIKE AIR VAPORMAX PLUS UNIVERSITY RED 125.00 FREE SHIPPING httpst.coBjehDeTAXi httpst.comDJremtTDY,free,,positive
711, PKU1898 Beijing can get quite cold in winter sometimes reaching 15C or lower but snow is a rare treat for us here especially th,,cold,negative
712, JWILL10 After a great conversation with chrispolizzi this morning Im blessed to receive Anoffer from University of Tennessee Mar,great,mar,neutral
713,"The best advice Ive gotten as to choosing the right university

Pick the school you feel will push you the most while still feeling you can be yourself.

The reality is its what happens after university  first jobs first connections  that really define your impact.","best, right",,positive
714, jackbenedwards wow my year group were screwed over in our final year of a levels by the new linear exam system and now were being scr,wow,screwed,neutral
715, jalenmonrrow19 Blessed to receive an offer from Ohio University thanks for the opportunity  OhioFootball TREMAYNESCOTT BronchoFB,,,neutral
716, calebburtoniii AGTG I am Very Blessed and Honored to say I have Earned an offer from Texas AampM University GigEm  CoachCBurton,honored,,positive
717, skarlamangla this tool made by the University of Washington projects when the covid outbreak will peak in each state and how bad itll,,"bad, outbreak",negative
718, mikedeuce1 Howard University Administration Partial tuition and fees housing and meal plan reimbursement for Howard U students  S,,,neutral
719,UTDTxmmy Wondering how to improve your school college or university grade points Not sure about where to get highquality Essay done according to your specific Master Degree College or High school I will help you to solve Dm us or Email us essayguruexperts88gmail.com,"improve, master",,positive
720,STUDENTS  University of Northampton to implement a No Detriment Policy to assignments  Sign the Petition httpst.coebod9jANuP via UKChange,,detriment,negative
721,DavidDobrik lmao me because my university isnt giving me a refund on my housing and meal plans that Im not using   howardjennifer ,refund,,positive
722, BrysonOMalley Da Crib University has some strict RAs,,strict,negative
723, Ahh University has been killing my soul. Especially with this COVID stuff. I havent been doing anything except dealing with stress.,,killing,negative
724, BrysonOMalley Da Crib University has some strict RAs,,strict,negative
725, IMJack003 Blessed and so thankful to be offered by The University of Kansas jayhawks CoachWallaceKU CoachLesMiles coachcalebross,thankful,,positive
726, IsaiahH3Y I am excited and proud to say that I have committed to Southern Arkansas University to pursue my academic and baseball caree,"excited, proud",,positive
